Sample,ATP5G3,AURKB,B2M,VAR1,02-Mar,CBEBP,CD83,CDKN1B,CIT,CLASPIN,COX6B,DEXH,EF2_1,EPD,ERCC6L,ES1,FKBP10_2,FYNTBP,GAL3,GILT,GPX3,HEP,HERC6,HSC70,HSP70,HSP90a1,HSP90,HSP90a,HTATIP,IFI,IFI44,IFIT5,IFNa,IGMs,IL_11,IL_17D,IL_15,IL_1b,AARDC,CLEC4E,GLUL,NUPR1,ODC1,TAGLN3,IRF_1,JUN_F3,KIF15,KIF2C,KRT8,MAP3K14,MFHAS1,MMP13,MMP25,MX,NAPEPLD2,P_RAS,PRLR,RAMP1,RGS21,RPL6,RRl,RRM2,SAA,SCG2,SERPIN_1,SFRS9,TGFb,TRIM1,TXN,BSG,C7
M0089,0.011032053,0.826572136,0.230533337,0.442333012,0.590215295,0.406666675,0.23727131,0.940895254,0.393217739,0.764108878,0.956788248,-0.977888061,1.052186317,1.809859839,0.353655546,0.119198022,1.10090363,0.760131424,-0.382815016,0.656938466,0.264454814,0.100210701,-0.644863255,-0.02149752,-0.318984072,-0.168987972,0.214659117,0.146582634,0.372382526,0.233299207,1.157403927,-0.029676091,-0.634860371,-0.069875586,-0.293644922,-0.362893491,0.5073161,0.26578466,0.237972437,-0.008538217,0.646245317,-0.017952443,1.049366262,1.428470667,0.211568998,0.921004404,-0.039796623,0.621016629,0.449479178,4.44E-16,0.626418954,0.086891559,0.671502575,0.116723553,0.76781472,0.520698206,0.006228736,-0.001995218,0.952383003,0.716803943,1.024434231,0.610912274,-0.119496668,0.364584857,-0.019280697,0.362450212,0.050885432,0.664714223,0.626005212,NA,NA
M0091,0.078118899,0.27925161,0.468425469,0.095686405,0.819803056,0.869690269,0.199868039,-0.2449126,-0.037771431,-0.38509492,NA,NA,0.163119406,1.812404118,0.171248311,1.371183135,0.681030786,0.350205657,NA,0.938211082,0.911465858,-0.026028113,1.701824988,-0.434217745,-0.515894826,NA,0.035285601,-0.463516891,0.165423699,0.095879067,-0.344350911,0.009969947,1.18500211,-0.060315005,0.657230393,-0.72407522,-0.574687982,0.098538831,0.18730062,0.042579058,0.181380427,0.416433048,0.537598967,0.218257092,0.052335601,1.038278479,-0.021634966,NA,-1.340609728,NA,-1.005915965,-1.358794026,0.87871889,1.025543407,-0.294825223,0.05215548,0.048218029,0.050334456,NA,NA,0.329374519,NA,-0.29183496,NA,0.028062835,0.466396191,0.972743074,-0.402977001,0.083049703,0.536910616,1.576097613
M0094,0.427498105,0.293213874,0.613797785,0.734404883,0.53716139,0.416055977,0.001865422,-0.108804948,0.222045281,-0.093926419,NA,NA,0.490632731,1.381494297,-0.195069607,1.705304759,0.894514519,0.088094634,NA,0.679188846,0.88491418,0.570758916,0.769083175,0.343946854,-0.58427597,NA,-0.743612822,-0.191704934,0.205698883,0.095879067,0.648340376,0.009969947,0.561089069,-0.060315005,-0.173420798,1.012044673,0.511265885,-0.146950854,0.75537559,0.042579058,0.837931704,0.641458651,-0.291200782,0.432832296,0.114045074,1.474129894,-0.021634966,NA,0.890728158,NA,0.855445903,0.106134887,0.352022162,0.687907796,1.207568349,0.258034824,0.048218029,0.050334456,NA,NA,0.108257822,NA,-0.946729792,NA,0.028062835,0.500991756,0.54627359,-0.299277447,-0.073446113,0.597221388,1.893150303
M0096,-0.108534846,0.199920987,-0.534350419,-0.005852281,-0.100429911,0.215348145,-0.004892064,0.308858774,-0.095875692,0.382633605,0.605064491,-1.361533134,0.861783014,1.479778612,-0.010951903,0.190206627,0.691074947,0.368913924,-0.404388174,0.197639963,0.729515669,-1.291401556,-0.049317737,0.070561389,0.114515554,0.44360705,-0.04806014,-0.14638123,-0.050963951,-0.26706624,0.924537268,-0.029676091,-0.189131059,-0.069875586,0.006081759,-0.404653524,0.276200186,-0.291969592,0.344903772,-0.008538217,-0.311857273,0.167585546,-0.481348621,0.865002689,-0.305538346,0.70534543,-0.039796623,0.073036403,0.704600052,4.44E-16,0.013337494,-1.617619832,-0.400004653,0.295553873,-0.096920877,-0.338134636,0.006228736,-0.001995218,0.260293292,-0.613175521,0.286523184,-0.266278988,-1.785084733,-0.778634159,-0.019280697,-0.130406474,-0.164140307,0.151358513,-0.323466022,NA,NA
M0097,0.498795794,1.14178329,0.959248205,0.259781211,-0.443266849,-0.767585173,0.745187887,1.174256355,0.652971873,1.049886133,-0.003940822,0.191820376,1.301289892,1.448325484,0.570510586,2.144313784,1.195273113,0.453995079,1.377542123,0.682451457,-0.257364747,1.277109034,2.339234466,0.801072806,1.574742651,1.215844106,1.248800022,1.423054582,0.346952605,-0.045024589,0.813949371,-0.029676091,0.818061595,-0.069875586,0.851334333,1.36694747,0.915002297,-0.023541723,0.811240612,-0.008538217,0.224877183,0.252950459,0.712558401,1.067666305,-0.031525321,1.93413666,-0.039796623,0.539993545,0.478994625,4.44E-16,0.753136477,-0.422047892,-0.631552108,0.189261518,-0.328521991,0.036057851,0.006228736,-0.001995218,2.303404048,1.969262228,0.672117763,0.661829302,1.913960948,-0.337470892,-0.019280697,0.338433499,-0.050219741,0.711109107,-0.183849927,NA,NA
M0098,-0.32598867,-0.403562708,-0.970053692,-1.14331126,-0.979382817,-0.811141618,-1.043697104,-0.28793252,-0.857284317,-0.433992338,-1.016761959,-1.443459081,-0.107771474,0.215107568,-0.84292787,-0.393773006,-0.111712074,-0.884856398,-0.907404537,-0.880550528,-1.260267802,-0.979458191,0.266758919,-0.739570786,-0.456896116,-0.92254462,-1.48726695,-0.769535424,-0.988557195,-1.18325073,0.116592245,-0.029676091,-0.29924057,-0.069875586,-1.216160044,-0.237797061,-0.263874012,-0.861029842,-0.293541871,-0.008538217,-0.822802492,-0.494214781,-0.224918437,0.141545181,-1.140870007,0.446549858,-0.039796623,-0.704739417,-0.375762812,4.44E-16,-0.3177309,-1.86778467,-1.13806627,-0.798555033,-0.96862842,-0.954620106,0.006228736,-0.001995218,0.920357393,0.634439645,-0.641065669,-0.88643169,-0.305853911,-1.411298436,-0.019280697,-0.630107639,-1.112188494,-0.422170225,-1.127300892,NA,NA
M0099,-0.446130858,0.037501418,-0.758251173,-0.722454271,-1.400818785,-0.9893822,-0.682390848,-0.700772667,-0.540501987,-0.062937074,-0.496215735,-1.482499435,-2.001328972,-0.116149042,-0.529428705,0.339994621,-0.543247717,-0.864926263,-1.130543725,-0.425692294,-0.693963154,-0.387209172,0.060243481,-1.03323046,-2.770167548,-0.65619312,-1.142789001,-0.905032953,-1.236319155,-1.45358305,-0.141675992,-0.029676091,0.004363919,-0.069875586,-0.72228911,-1.3167774,-0.662334164,-0.497109443,-0.308891272,-0.008538217,-1.14514724,-0.735620734,-0.60616019,-0.655921531,-1.049905339,0.198628399,-0.039796623,0.084119526,-0.896834116,4.44E-16,-0.921181038,-0.235128603,-0.965524732,-1.560157831,-1.030228214,-0.937374561,0.006228736,-0.001995218,0.455777183,0.490619962,-0.08986576,0.033468937,0.223086195,-1.905628164,-0.019280697,-0.547799357,-0.824134511,-0.965437714,-0.934115815,NA,NA
M0100,-0.366267635,1.163204928,0.009048248,-2.079111886,-0.354438555,-0.758631869,-1.193594492,-0.557205362,0.538750589,0.765715194,NA,NA,0.352320126,0.070019885,0.567498913,-0.129059395,0.954830844,-0.452701477,NA,-0.987122214,-0.458071297,-0.227480618,-0.299579665,-0.109930928,-0.91885126,NA,0.164890631,0.088507727,-0.733825035,0.477529439,-0.018646491,0.009969947,0.347067593,-0.060315005,-0.54532924,1.051195019,0.03604642,-1.145978994,-0.681985143,0.042579058,0.185667036,-0.966366456,-0.411682229,-0.032587758,-0.265002738,1.35126508,-0.021634966,NA,1.172430403,NA,1.282188402,-0.64319405,-1.271101155,-0.391860466,0.658823371,-1.282716219,0.048218029,0.050334456,NA,NA,0.293727553,NA,0.77274251,NA,0.028062835,0.091866538,-0.389063477,-0.199592306,0.306324159,-0.043709128,-0.639570308
M0101,0.019801404,0.268617827,-0.043915594,0.148445122,-0.428348665,0.456893013,-0.928377395,-0.833632836,-0.53029883,-0.102483795,NA,NA,0.812986285,0.508380861,-0.413631366,-0.377360232,0.505415922,-0.629798826,NA,-0.49646226,-0.214354113,2.20139241,-0.133839079,-0.041764284,-0.623652806,NA,-0.12378101,-0.231241066,-0.900142015,0.507386567,0.1634653,0.009969947,0.172228967,-0.060315005,0.440350119,1.398159971,-0.01263669,0.678919743,-0.432232524,0.042579058,0.438808963,-0.743042902,0.946819148,0.262117993,-0.872300153,2.041781716,-0.021634966,NA,1.517738051,NA,1.165001189,-0.473682234,-0.885822672,-0.463010192,0.786095901,-1.053491083,0.048218029,0.050334456,NA,NA,-0.182527114,NA,3.249013679,NA,0.028062835,-0.043101686,-0.663097232,-0.34135499,0.301119077,-0.090540626,-0.259495321
M0102,0.398402945,0.291851844,-0.165788519,0.105490421,-0.751051486,-0.370593366,-0.199746799,-0.008003588,-0.726903877,-0.066638191,0.450928725,-0.058623017,0.424433064,1.341101887,0.055600968,1.095701914,-0.064684924,0.394064612,0.208764049,0.366333034,-0.77674576,-0.180174041,-0.05330973,-0.459751528,-0.485955468,0.790102589,0.449157351,0.865283531,-0.633028785,-0.449044277,0.634435145,-0.029676091,0.40275617,-0.069875586,0.60643802,0.486040969,0.292875693,0.218243263,0.533640707,-0.008538217,0.076996714,0.815469025,-0.054569787,0.801857336,-0.626931586,1.247416262,-0.039796623,0.290324391,-0.264866395,4.44E-16,-0.141981096,0.730508526,-1.378199776,-0.677502827,-0.347426029,-0.131903284,0.006228736,-0.001995218,1.306752449,1.288133857,0.237101651,0.177077814,-1.290243736,-0.243443203,-0.019280697,0.077811926,-0.768154052,-0.101135272,-0.020812817,NA,NA
M0104,0.031119791,-0.462919682,1.556538458,0.095686405,0.224742053,0.470465636,-0.782916973,-0.415846333,-1.523590194,-1.559145659,NA,NA,-0.270119794,1.344220488,-1.470879869,-0.483901257,-0.509702748,-0.452516791,NA,0.714621877,0.568982404,0.208183987,-2.616812102,-1.332419962,1.910517922,NA,-0.074661015,0.738516907,-0.998795139,-0.336208486,-0.832178175,0.009969947,-0.340730204,-0.060315005,-0.328982325,0.582212293,0.425724778,-0.359921213,-0.079764757,0.042579058,1.110578038,-0.445246542,-0.165131945,-0.754374127,-0.96432235,1.26874013,-0.021634966,NA,-1.087846514,NA,-0.301406344,-0.492492908,-0.106380558,-2.016118197,0.009376943,-1.003985814,0.048218029,0.050334456,NA,NA,-1.067403121,NA,-1.68999599,NA,0.028062835,-0.260504679,-0.986166596,-0.848623466,0.463346942,-0.604360063,1.040466701
M0106,-0.572387698,0.063575333,0.99022978,0.095686405,1.635743738,1.604060061,0.823991619,0.337281663,0.099347361,0.100610231,NA,NA,0.725437105,1.811379393,-0.083962189,1.446668341,0.288492411,1.36325368,NA,0.070758442,1.554063944,1.98060303,0.914514962,-0.324174639,-0.770073485,NA,-0.141919494,-0.44461412,0.729794261,-1.022339092,-0.257677198,0.009969947,0.349568041,-0.060315005,1.033535887,-0.372181373,1.186472708,0.548344787,0.596171262,0.042579058,0.639248751,0.721531539,1.408247832,0.315395607,1.209389318,0.344686816,-0.021634966,NA,-1.260541922,NA,-0.008522929,-0.178131598,0.933750531,0.724966233,0.253304175,0.730029644,0.048218029,0.050334456,NA,NA,0.468402675,NA,-1.535876874,NA,0.028062835,0.283245149,0.879852334,1.340905949,0.490938124,0.317037201,1.446465011
M0107,0.622147543,0.780353335,0.802849046,0.095686405,0.521419179,0.865238172,1.592716972,-0.441399509,0.478106917,0.497873209,NA,NA,0.635188381,1.34929088,0.548419368,0.481148341,0.400770397,1.603077206,NA,0.685392358,0.971480147,2.824990586,2.034296807,1.758489798,1.277846767,NA,0.767981331,1.333141933,0.20259852,0.926347218,0.781854055,0.009969947,0.603482953,-0.060315005,0.437740288,0.015579965,0.687365627,0.740706617,1.494864219,0.042579058,-0.298763581,1.521619328,0.043233454,0.28643944,1.323909748,0.169248552,-0.021634966,NA,0.964588569,NA,0.425753661,1.610356355,1.866776243,0.846421885,1.139635935,0.759496937,0.048218029,0.050334456,NA,NA,0.955234129,NA,2.132678719,NA,0.028062835,0.563497231,-0.335771186,0.114554113,1.789569748,0.293919856,0.841635199
M0108,0.741199153,1.298673775,0.309711823,-1.717945162,0.219605411,0.725511524,-0.131222951,-0.652671024,0.569849994,1.541730168,NA,NA,0.690163088,0.620353761,1.107277222,1.038476012,0.834101977,-0.025458633,NA,-0.376273259,0.4742341,-0.404482148,0.86637052,0.116786443,-0.009225274,NA,-0.320008694,0.25609538,-0.311267417,1.015191622,-0.067946554,0.009969947,2.565444674,-0.060315005,-0.555667074,0.096798432,0.156816728,-0.472527646,0.458516668,0.042579058,-0.040602303,0.231971439,-0.752366374,0.602715308,0.16654242,0.164550679,-0.021634966,NA,0.283587409,NA,0.837669146,-0.374263976,0.387950823,0.837404071,0.970980202,0.65506294,0.048218029,0.050334456,NA,NA,1.211319746,NA,0.551246373,NA,0.028062835,0.681758732,0.338338178,0.286716867,0.358850069,0.040692965,-0.333652613
M0109,0.615368091,0.364096242,-0.02827175,0.095686405,-0.213751898,-0.251020712,-0.887609479,-0.835654049,-0.001710359,0.795558344,NA,NA,0.321128187,0.835621225,0.074592545,0.084031382,0.260274203,-0.356077118,NA,-0.801409181,-0.073267503,-1.0527204,3.284661355,-0.114219266,-0.6156718,NA,-0.212466031,-0.130569849,-0.628285863,1.103403365,1.49749887,0.009969947,0.18571513,-0.060315005,-1.405248744,1.081843796,0.571918576,-1.849061519,0.109452289,0.042579058,0.013406921,-0.162232906,0.240229416,0.636930626,-0.465292487,1.019272414,-0.021634966,NA,0.495162692,NA,1.484461999,-0.880080442,-0.613829357,0.917548148,1.281071598,-0.553004047,0.048218029,0.050334456,NA,NA,0.441109453,NA,0.602476484,NA,0.028062835,0.040053469,-0.229450734,-0.546488749,-0.425627218,-0.093932321,0.905552165
M0110,0.752702052,0.177483029,1.539139656,-2.222841196,0.925846903,1.570818261,1.194779405,-0.621438043,-0.07806484,1.011586118,NA,NA,0.34461368,1.386150076,-0.054298965,1.081901128,0.010920114,1.811619105,NA,0.562130908,1.235245315,2.095694481,3.081325796,1.684376978,1.878760915,NA,0.833997427,1.529878602,0.119728829,-0.323468519,0.543019553,0.009969947,1.730935721,-0.060315005,0.938218589,0.526125435,1.145029031,1.282181535,0.795129615,0.042579058,0.923835805,0.474240682,1.079809323,0.709777189,1.621222605,1.652817002,-0.021634966,NA,0.636391698,NA,0.523138928,2.894647833,2.016468659,0.553637392,1.772325587,0.317616322,0.048218029,0.050334456,NA,NA,0.177611857,NA,3.128786506,NA,0.028062835,0.384765529,0.627537037,0.201036396,0.946209654,0.423327707,1.421834722
M0113,-0.658809147,0.06649722,-0.692508266,-1.406101926,-0.10550682,-0.017574675,-1.563271149,-0.871458784,0.0597769,0.149240395,NA,NA,0.521263938,0.635317905,0.053113479,-0.530002866,0.779749606,-0.531661827,NA,-0.879736477,-0.023121999,0.248120122,-0.643942494,-0.898807064,-2.375219503,NA,0.047005749,0.153385565,-0.255209212,-0.000571256,-0.648214081,0.009969947,0.349955628,-0.060315005,0.006269857,-0.225527927,-0.453759519,-0.551058471,-0.699982181,0.042579058,-0.255126947,-0.768213635,0.221167693,-0.207211604,-1.527691331,-0.611866043,-0.021634966,NA,-1.297646362,NA,0.178595659,-0.533785678,-0.752615551,-0.358777251,-0.261634845,-0.000703683,0.048218029,0.050334456,NA,NA,0.300925448,NA,-1.782193264,NA,0.028062835,0.139606602,-0.088839406,-0.265010643,-0.348336321,0.022308859,-7.403799585
M0115,0.587234603,0.819568252,0.320515333,0.095686405,0.483624121,1.243045089,0.349114921,-0.495677693,0.512495478,0.971658387,NA,NA,0.724837336,0.820776904,0.711862417,-0.41879622,0.746464393,0.576828053,NA,-0.715030873,0.303957656,0.395344912,-0.391336934,0.554153967,1.263541082,NA,0.5081598,1.067122371,-0.051545863,-0.450149268,-0.575316711,0.009969947,1.605165134,-0.060315005,1.10209478,-0.247973475,0.499199298,0.918921945,0.01436174,0.042579058,-0.196840285,0.179095738,0.582124494,0.913559165,0.270692633,1.345673466,-0.021634966,NA,0.163489363,NA,0.354243002,1.425095467,0.958827412,0.179169301,1.42699487,-0.111358399,0.048218029,0.050334456,NA,NA,1.191704074,NA,1.50775782,NA,0.028062835,0.742766426,1.171309816,0.193706552,0.372998195,0.295385116,0.392076912
M0116,0.774447187,-0.283370055,1.495148752,-1.523204112,0.494985834,0.835364613,-0.257097029,-0.115028085,-0.433384402,0.614156675,NA,NA,0.149046064,1.631720017,-0.517097074,1.190775051,-0.130362442,0.735836381,NA,-0.159448304,1.088650179,1.809146172,-2.60831943,0.011912923,0.630098774,NA,0.46291801,0.77903454,-0.069978763,0.34795465,-0.753003518,0.009969947,1.622199074,-0.060315005,0.252657479,1.338415328,1.224551861,0.698223846,0.462566346,0.042579058,0.672755093,0.157404917,-0.526424383,-0.31810348,0.087140071,1.723500856,-0.021634966,NA,0.460359163,NA,0.499606043,0.359050885,0.087476683,-0.509275413,1.796554528,-0.559330683,0.048218029,0.050334456,NA,NA,0.236680547,NA,-0.116967699,NA,0.028062835,0.149299193,-1.545256067,-0.138273244,0.636657936,-0.005046159,0.369637981
M0117,1.196722579,-0.067864599,0.268450608,0.095686405,0.059983378,0.532924642,-0.463488808,-0.548498537,-0.249565025,0.302314754,NA,NA,-1.364825353,0.709618112,-0.065790293,-0.367474954,0.756770622,-0.118091588,NA,-0.818704005,0.685505793,-1.642811654,2.374446968,0.098620318,1.365814398,NA,0.214355484,0.929618238,-0.617749356,0.45913816,-0.193898369,0.009969947,0.209617266,-0.060315005,-0.424507048,0.681321912,0.746953107,-0.033780575,0.219006772,0.042579058,0.00790749,0.162330026,0.697737801,0.435487054,-1.063041556,1.501346464,-0.021634966,NA,0.533008407,NA,0.692309846,0.579065389,-0.229110886,-0.246744603,1.596168974,0.095340861,0.048218029,0.050334456,NA,NA,0.863473533,NA,0.757751471,NA,0.028062835,0.621376742,0.490341911,-0.588714582,-0.25638724,0.252100617,0.129201519
M0118,0.718477021,-0.259057223,0.017203746,0.095686405,0.091344948,0.155105856,-0.397996828,-0.647223145,-0.510419641,0.318062059,NA,NA,0.452951827,1.145866418,-0.306674871,0.945968439,0.628718525,-0.222717687,NA,-0.606381066,0.079565758,-1.100977907,-1.106202938,-0.220254428,-0.255166514,NA,-1.225219108,-0.962714491,-0.668463842,-0.985512555,-0.875576591,0.009969947,0.591789266,-0.060315005,-0.75875917,-0.168018886,-0.161978887,-0.137233882,0.424839287,0.042579058,0.860256536,0.467520905,-0.293756752,0.221535329,-0.893876729,0.31106882,-0.021634966,NA,-0.12604939,NA,0.768740664,0.055722454,-0.157660566,-0.098958102,0.45953603,-0.289943191,0.048218029,0.050334456,NA,NA,0.175138949,NA,-1.375257221,NA,0.028062835,0.372000525,0.206087384,-0.050480424,-0.073953259,0.315047825,0.003994963
M0119,-0.119998005,0.924075788,0.95301655,0.095686405,-0.44546747,-0.081160642,-0.582506577,-1.486975542,-0.217728569,-0.149772876,NA,NA,0.472312421,0.934737808,-0.723931983,0.472956258,0.149667393,0.039500622,NA,-0.521092642,1.000225928,-2.665841482,1.183239302,-0.738846791,-0.188938253,NA,-1.180234592,-1.282747634,-0.642328941,-0.916211651,0.010880407,0.009969947,-0.207986866,-0.060315005,-0.189860988,0.800331884,-0.805989087,0.175805977,-0.446975789,0.042579058,0.96864121,-0.196917971,0.870182063,0.798038578,-1.555978692,1.333120255,-0.021634966,NA,-0.583080561,NA,0.206222095,-0.647295065,0.011237336,-0.993162482,1.375636104,-0.33629247,0.048218029,0.050334456,NA,NA,0.309218795,NA,-1.78061552,NA,0.028062835,0.905590233,0.006634536,-0.407082052,0.710796801,-0.166295251,0.415394783
M0120,-0.171524021,-0.320851688,1.666063396,1.524452053,1.240274529,0.514836094,0.548149375,0.530906828,-1.341345628,-0.614055272,1.863866946,NA,-0.450496829,NA,-0.73407566,0.14572191,0.007787634,0.768636763,0.120750796,0.931425971,1.597981605,-1.515781227,1.246616929,-0.4238162,-0.174705645,0.130739914,-1.203314911,NA,0.12374642,0.189630144,0.141665906,0.022252964,0.865674291,0.048617873,-0.368378639,0.078906527,2.04147725,0.590543221,0.512286217,0.012724538,0.868767179,0.230199705,0.413953436,0.240059448,0.015769749,1.253618193,-0.012348501,-0.890667039,-0.690327881,NA,-0.775160812,-1.126115018,1.277669401,-0.674001568,-0.152092719,0.659454463,0.035658804,0.033560192,NA,NA,-1.015941169,-0.023002386,-2.661713332,NA,-5.75E-05,-0.746102988,-1.397153102,1.293563851,0.15125577,-0.071463416,-1.362034272
M0121,0.313777709,0.33693374,0.931766236,-2.21347068,0.394549809,-0.530105917,0.38110652,-0.361648045,-0.35150318,0.292568952,1.334887732,NA,0.075135671,NA,-0.019878922,-0.084310611,0.257415048,0.653361526,1.119195214,-0.017153135,0.37824011,1.275072291,-0.287310013,0.115671753,-0.870334313,-0.984189717,-0.792417458,NA,0.150580088,-0.492183716,0.986540924,0.022252964,0.853719745,0.048617873,-0.272746168,-0.089102518,0.85422137,-0.284637535,0.177352118,0.012724538,0.261904123,0.204633212,-0.778818371,-0.061654045,0.548059216,1.348813829,-0.012348501,0.251745297,0.268585953,NA,-0.040823657,-0.166311339,0.871405338,-0.037798929,-1.278547477,-0.168335307,0.035658804,0.033560192,NA,NA,0.284748213,-0.280908221,1.504668117,NA,-5.75E-05,-0.257821174,0.311629693,0.126335934,-0.010453573,0.057567898,0.938888802
M0122,0.142065607,0.483555928,-0.476207011,-0.090279306,-0.324832912,-0.816277715,-0.198767806,-0.683577687,0.059533927,0.539124847,-0.250332737,NA,0.057518629,NA,0.031994914,-0.012655645,0.331894812,-0.457731441,0.901623817,-0.839358869,-0.146045883,0.628197297,0.74478717,-0.116041284,0.033611466,-0.284747887,-0.581353084,NA,-0.77763339,-0.72954761,0.925640581,0.022252964,0.883050153,0.048617873,-0.836801703,-0.695567007,0.222859817,-0.746764756,-0.210515949,0.012724538,-0.511044208,0.069456494,-0.702165819,-0.099502804,-0.410711036,0.598315052,-0.012348501,0.346102108,-0.247229022,NA,-0.025544337,-0.719012952,-1.43372005,0.56320289,-0.299309056,-0.44066772,0.035658804,0.033560192,NA,NA,0.207572626,-0.448361573,0.932134131,NA,-5.75E-05,-0.339759123,0.040954772,-0.693261725,-0.455247438,-0.424190384,0.052375156
M0126,0.89493567,0.522810423,0.489976138,-0.053754077,0.017931441,-0.472746341,-0.570337557,-0.297701996,0.115337711,-0.132399891,0.65218391,NA,0.688124782,NA,-0.443866047,0.49790157,0.72059339,-0.004960623,1.193434567,0.154482669,0.354927394,-0.633133039,1.698073713,-0.511142187,-0.225919228,1.183107913,-0.218395738,NA,-1.066347373,-1.00669006,0.021899685,0.022252964,0.619801544,0.048617873,-1.494818365,-0.104604626,0.492787344,-0.114061012,0.214458531,0.012724538,0.392516092,-0.65785799,0.144473276,0.528703518,-0.004862072,0.112445724,-0.012348501,0.518235791,0.119178221,NA,0.248152137,-0.001973622,-0.09868298,-0.899019918,0.410822167,-0.137200503,0.035658804,0.033560192,NA,NA,0.815103027,-0.054158001,-0.029393018,NA,-5.75E-05,0.335783389,-0.651839759,-0.494509297,-0.116085799,0.296259836,-0.070555892
M0128,0.185348108,1.18434596,-0.177307243,1.717306113,0.943430512,0.388731864,0.350575735,-3.33E-16,0.009694386,0.417692063,1.518651098,-1.035366552,0.578391619,2.39064131,0.479647995,0.660496063,0.905047077,0.40467853,0.419162605,-0.112628628,0.151627601,-0.155937488,-0.122282857,-0.925995598,-0.26500405,0.481957195,-0.900033667,NA,0.092664759,0.577902294,1.236532164,NA,-0.654135415,6.66E-16,-0.240020241,-1.236529326,-0.668024416,0.010798658,0.227794141,NA,NA,-0.021543999,NA,1.032828327,NA,-1.130634394,NA,0.595207373,NA,NA,0.556489939,0.777825136,0.083366586,1.775953738,0.841021307,0.225775623,2.66E-15,NA,NA,NA,0.74733488,1.015019569,-1.436220648,NA,NA,0.355523596,0.416722243,0.062688,0.38546323,0.531895414,-1.082124459
M0131,1.578063455,0.598800477,1.066835152,-0.199983456,1.372866063,1.037902193,0.431705784,1.674568067,0.860854045,1.173585505,2.741956917,0.361116579,0.648161432,0.416471233,1.012392692,1.581942286,0.889754766,0.993441002,0.860473127,0.765425596,1.753823697,0.049644094,1.413181538,1.092726407,1.378320927,1.020787851,0.551680651,NA,0.269741241,1.697102078,5.33E-15,NA,1.448427388,6.66E-16,-0.010319168,0.643559525,1.716542049,1.123031804,1.447028573,NA,NA,1.623594461,NA,0.951162397,NA,0.082189853,NA,1.376053363,NA,NA,0.683873121,1.333794625,1.562703731,1.29971903,1.464555376,1.252859171,2.66E-15,NA,NA,NA,1.098348269,0.564759198,0.148382759,NA,NA,0.907761316,0.574034411,0.703696865,1.219816714,0.992329026,1.044725736
M0134,0.276075137,0.239142924,0.188147568,2.012716345,0.166325182,1.208344097,-0.787996937,-0.431038515,0.039602723,0.025197826,NA,NA,0.208891011,-0.480818633,0.449951614,0.297193848,0.162977965,-0.334281989,NA,-0.197653614,0.070401359,0.118475278,1.378058054,0.029930137,1.781895829,NA,0.948732019,1.536307823,-0.250806902,-0.464233398,0.010880407,0.009969947,0.163174367,-0.060315005,0.822720851,-0.498747667,0.408206565,-0.056527071,0.21953464,0.042579058,-0.396247598,0.702866606,0.130727475,-0.759434809,-0.617856879,0.238216055,-0.021634966,NA,-0.05799922,NA,0.014121882,-0.518212019,-0.102682112,0.404263366,0.078408941,0.520092489,0.048218029,0.050334456,NA,NA,1.00242477,NA,0.894014964,NA,0.028062835,0.617933159,0.779129243,-0.502075524,0.368704539,0.412018428,-0.710871733
M0137,0.630381361,-0.036709906,1.322336989,-0.609661684,0.355883315,0.325415112,-0.500861394,-1.103083373,0.139808547,-0.12915899,0.891370423,NA,-0.009764955,NA,-0.717563033,0.48763552,0.119880935,-0.232819197,1.73996,-0.223426279,0.248482871,-0.029094442,0.883563692,-0.424425608,-0.813942008,0.708032464,0.173821033,NA,-0.43350243,-0.336469197,0.195940552,0.022252964,0.942034571,0.048617873,-0.428123923,1.196875375,0.667648033,-0.257096302,-0.084940791,0.012724538,0.815624366,0.050547349,0.021618516,0.517255916,-0.297749217,2.214263197,-0.012348501,-0.364964757,0.309279056,NA,-0.404056428,0.83345475,0.319405413,-0.855320416,-0.222534105,-0.173545982,0.035658804,0.033560192,NA,NA,0.26900182,0.198838193,1.116444913,NA,-5.75E-05,0.206707245,-0.662620222,0.679692943,1.200083288,0.185454649,0.887689393
M0138,-0.135051157,-0.38638372,-0.289533754,-1.246792378,-0.817192122,0.4651591,-1.300343864,-1.416751438,-0.417762345,-0.285421353,-0.118849967,NA,-0.346336391,NA,-0.598815724,0.018617582,-0.14515906,-0.431084902,1.232676786,-1.092447954,-0.169062504,2.352343283,1.927513233,-0.40569132,0.279512855,1.630766099,0.698293721,NA,-0.677002259,-1.5399899,-1.042510191,0.022252964,-0.659142541,0.048617873,1.664353077,-0.007077496,-0.189296648,1.063604519,-0.380498433,0.012724538,-0.268453604,-0.342810892,0.216821557,0.292049748,-0.878129976,1.342079251,-0.012348501,-0.028998112,0.245136242,NA,0.041970961,2.350836983,-0.241267541,-0.292276629,-0.633495524,-1.183369846,0.035658804,0.033560192,NA,NA,-0.026495232,-0.941486162,0.07919641,NA,-5.75E-05,-0.119822466,-0.052827818,-0.486976449,0.564394106,-0.205361267,-0.481032988
