Sample,ATP5G3,AURKB,B2M,VAR1,02-Mar,CBEBP,CD83,CDKN1B,CIT,CLASPIN,COX6B,DEXH,EF2_1,EPD,ERCC6L,ES1,FKBP10_2,FYNTBP,GAL3,GILT,GPX3,HEP,HERC6,HSC70,HSP70,HSP90a1,HSP90,HSP90a,HTATIP,IFI,IFI44,IFIT5,IFNa,IGMs,IL_11,IL_17D,IL_15,IL_1b,AARDC,CLEC4E,GLUL,NUPR1,ODC1,TAGLN3,IRF_1,JUN_F3,KIF15,KIF2C,KRT8,MAP3K14,MFHAS1,MMP13,MMP25,MX,NAPEPLD2,P_RAS,PRLR,RAMP1,RGS21,RPL6,RRl,RRM2,SAA,SCG2,SERPIN_1,SFRS9,TGFb,TRIM1,TXN,BSG,C7
M0076,-1.344909628,-1.372201727,-1.182080015,-0.681037693,-0.908058428,-0.549160652,-2.579389729,-2.017316918,-0.874237823,-1.345033452,-0.835972733,-0.951049,-0.924304319,-1.386272026,-1.615222853,-1.711995806,-0.700232954,-1.151787514,-2.239706516,-0.87978585,-0.462966314,-0.497306507,-5.06015905,-2.374247463,-0.036248949,-0.009653878,-0.06147816,-0.333643535,-1.208539024,-1.201868455,-1.7932662,-0.940695555,-2.095666679,-1.927066324,-0.311309557,-1.967759716,-1.550798036,-0.786829066,-0.987294374,-0.543331149,-0.646554344,-1.413899781,0.594298508,-0.884583277,-1.970673576,-0.486145438,-1.189553263,-1.608605075,-0.001506521,-0.840838657,-0.866709916,-0.024391476,-1.190668477,-0.466804663,-0.411330675,-0.90374791,-0.664334296,-0.503727357,-0.032755946,-1.638456003,-1.212407515,-1.070196908,-2.152493083,-2.233500801,-0.630948148,-0.819572376,-1.463570415,-1.338368665,-0.651353204,NA,NA
M0077,-0.171049073,1.217375558,-0.676976081,0.502285969,-0.251760833,0.732905931,1.33966832,-0.027613298,1.116464624,0.669445989,0.271436152,-0.933949759,1.113473396,1.468787992,0.800943896,0.411825479,0.747733293,0.990213649,-0.606750798,0.48950889,0.022075764,4.098553828,0.429515747,0.118806534,0.431311265,0.841105755,0.561151975,0.997648583,0.078741706,0.372576303,0.301276035,-0.029676091,-0.996819131,-0.069875586,1.052885913,-0.53211484,-0.129229411,2.508800866,0.57124364,-0.008538217,0.698893234,-0.149577428,0.884593405,1.358282796,0.262544106,0.632786294,-0.039796623,1.102037829,0.472317884,4.44E-16,-0.269992775,2.286359785,1.022208801,0.149075221,0.24176089,0.181927811,0.006228736,-0.001995218,0.850112331,0.095943173,0.822990263,0.6566092,2.503397187,0.690849207,-0.019280697,0.025768196,0.053318742,-0.149954927,1.217400529,NA,NA
M0078,1.024420815,0.599600251,1.366595701,0.237012002,0.388922803,0.771375103,-0.352390857,1.274705607,0.346734374,-0.694594088,1.785971774,0.694653766,0.170154637,1.35356526,-1.247399029,1.315505854,0.372994881,0.02755174,-0.862965121,0.961412045,1.138513777,1.434439578,-1.887353921,-0.839602893,0.546931279,-0.52235874,-0.690555685,0.026708799,-0.213973645,-0.303108746,0.526745832,-0.029676091,1.257818893,-0.069875586,-0.110857944,1.818299697,1.677187119,0.283962959,1.142231086,-0.008538217,1.195206014,0.803436659,0.715633814,0.595134049,-0.959410368,2.146138988,-0.039796623,-0.009644342,0.095375988,4.44E-16,-0.076799322,-0.086823337,0.151804908,-2.020271432,0.476751912,-0.302358904,0.006228736,-0.001995218,1.882530875,1.517345345,-0.628794841,-0.058617141,-0.504348222,-0.639557908,-0.019280697,0.485186006,-0.638074966,-0.121094484,0.259063713,NA,NA
M0079,-0.255458217,-0.634099812,-0.749136533,-1.553101619,-0.422308827,0.053321406,-1.42610672,0.148051475,-0.609632692,-0.310811789,-0.178473018,-0.753999481,0.624637726,0.511382509,-0.515406824,0.201771824,0.513661439,-0.195711372,-0.589714947,-0.813276977,0.583350884,2.86450776,-2.243127828,-0.426014793,0.75039162,-0.375750722,0.81784781,1.342012353,-0.415508552,-4.021343156,-0.516749682,-0.029676091,-0.158220903,-0.069875586,-0.17237029,0.497559961,0.408774379,-0.951528713,0.643241577,-0.008538217,-0.116096967,0.308572333,0.265719327,0.836428536,-1.290773479,1.523633555,-0.039796623,-0.328078837,0.065449423,4.44E-16,-0.189890369,0.66273292,-0.823469699,-1.616603714,-0.384339149,-0.323335175,0.006228736,-0.001995218,0.947664826,0.352046271,-0.359169074,-0.643200557,-0.597312539,-0.511398577,-0.019280697,-0.194053784,-0.974234311,-0.160654783,-0.162227727,NA,NA
M0080,0.08661994,0.33641715,0.853666744,-2.201631921,0.591646279,0.567044159,0.447861652,0.564837986,0.518302786,0.803099038,NA,NA,0.863202477,1.502971313,0.258450516,0.979511151,0.721207788,1.21298735,NA,0.904249608,0.739231062,0.819599658,2.653320003,1.677884509,1.192699262,NA,0.54326929,0.755799549,0.305298831,0.529895532,0.821554892,0.009969947,-2.539806191,-0.060315005,-0.220833826,1.348360286,1.863684952,0.702288576,1.5567045,0.042579058,0.302409565,1.132145274,0.201787356,0.574535759,1.14126175,1.934234804,-0.021634966,NA,1.791069578,NA,1.529270208,2.104683905,1.367770864,0.540550559,1.671749557,-0.122119151,0.048218029,0.050334456,NA,NA,0.340351229,NA,2.39866829,NA,0.028062835,0.358992591,1.291305166,0.504948175,0.387879905,0.325516087,2.085239726
M0081,-0.172358348,0.132299443,0.167186765,-0.3565127,-0.354427907,-0.912808297,-0.182677874,-0.327084606,-0.356727998,0.408593395,0.193390248,NA,-0.578406215,NA,-0.100941575,-0.675274672,-0.52258852,-0.211168133,1.087101091,-0.541224184,-0.283777472,0.995965639,-0.822530995,-0.182499735,-0.733462413,0.545678219,0.597685128,NA,-1.040868127,-0.779597115,0.623329501,0.022252964,0.630982839,0.048617873,-0.651273638,-0.150479923,0.137884537,0.363641497,-0.464855899,0.012724538,-0.311546242,-0.569446298,-1.306781316,0.008344703,-0.510861401,1.778823077,-0.012348501,0.3324681,-0.64691538,NA,-0.460087976,-0.941926584,-0.182607722,-0.582989105,0.089291139,-0.561158392,0.035658804,0.033560192,NA,NA,-0.032653684,-0.708086256,1.459794469,NA,-5.75E-05,-0.38899743,-0.3444663,-0.339333867,-0.469755158,-0.602668803,0.612439125
M0083,-0.682639077,-0.24368585,-0.622962156,-0.650858926,-1.110736357,-0.50206811,-1.005726349,-0.492251404,-0.91367473,-0.466090274,-0.21277964,-0.532478399,0.050409928,0.317353074,-0.830976307,-0.346821312,-0.491151436,-0.33532207,-0.443054183,-0.615482697,-0.531280853,-1.090547415,-0.905699112,-1.341575944,-0.837399747,-0.843518672,-0.945252454,-0.338963393,-1.297439261,-0.285030775,0.635760538,-0.029676091,-0.158482368,-0.069875586,0.107941219,-0.702542815,-0.285401753,-0.832260456,-0.294165467,-0.008538217,-0.500183811,-0.703561896,-0.608029399,-0.061228425,-1.162513461,0.331165834,-0.039796623,-0.247149727,-0.654305791,4.44E-16,-0.844322678,-0.93803666,-0.732996958,-0.049567675,-0.60936081,-0.812945689,0.006228736,-0.001995218,0.579568603,-0.215815334,-0.395884115,-0.556690174,1.716583292,-1.596540435,-0.019280697,-0.667643625,-0.886163897,-0.545057525,-0.744329613,NA,NA
M0084,0.222236348,0.705017236,-0.820650337,-0.00708806,0.33207912,0.065488756,0.069958913,0.697919626,0.461411137,0.705910767,1.075255541,-0.822795543,0.896490679,1.505699862,0.529367007,0.34522713,1.457522316,0.204019438,0.179827278,0.345223671,0.707015013,0.854185124,0.374599771,0.46486829,1.455430913,0.699202585,0.653771346,0.691792731,0.242097606,-0.013254908,0.823975908,-0.029676091,0.154212986,-0.069875586,-0.88360708,0.449190683,0.846351166,-0.129441987,0.73119461,-0.008538217,0.183551112,0.441240456,0.188757854,1.247565086,-0.092885232,1.508719141,-0.039796623,0.859753075,0.544624861,4.44E-16,0.853997326,1.239794643,0.247879034,0.850153273,0.487400296,0.399887609,0.006228736,-0.001995218,0.482505334,0.063268625,0.605015907,0.202398722,-0.833537214,0.370292455,-0.019280697,0.216513127,0.308231799,-0.052754273,0.000401822,NA,NA
M0085,-0.831332764,1.539197577,0.666641917,1.732902759,0.870497012,0.968956693,1.289560073,0.921894447,0.830305331,0.859221312,2.01346438,-2.040347831,1.272099073,2.187589425,0.490390106,-0.227261891,0.908953568,0.89035365,-1.279890026,1.49205031,1.427585097,1.785246966,-0.060795354,-0.526857338,1.373167456,1.537313574,1.549313118,0.832793289,0.419576488,1.43415197,2.895364627,-0.029676091,-2.046711906,-0.069875586,-0.179597333,-1.388288155,0.300594758,0.243321408,0.044714611,-0.008538217,1.329638837,-0.270411942,1.594972302,1.574217463,1.138954792,0.071769108,-0.039796623,0.866970113,0.074145962,4.44E-16,0.332813069,-2.592070754,1.414357523,0.860224796,1.074458437,1.034751865,0.006228736,-0.001995218,1.208172962,0.037055878,1.267032007,0.535035463,-3.387763988,0.90228275,-0.019280697,0.357241257,0.656015287,1.355430583,1.102511911,NA,NA
M0086,-0.123901166,-0.132443396,0.217383211,0.230862285,-0.259400708,-0.570225787,-0.036889529,0.440885051,-0.67078876,0.003022432,0.46810637,-1.061732796,0.677772328,1.453572946,-0.486874959,0.237724547,0.21620381,0.733745164,-0.141768538,0.351368922,0.749226301,0.930526042,0.468650857,0.241165227,-1.175105813,0.29299032,-0.151674901,0.360488888,-0.128280289,-0.78209285,1.082689076,-0.029676091,0.151506058,-0.069875586,-1.093153107,0.151180847,0.717721807,-0.489854037,0.481250338,-0.008538217,-0.017993334,0.308893794,0.001555455,0.501280724,-0.094739059,0.188208804,-0.039796623,-0.240907348,-0.165401361,4.44E-16,-0.676227292,-1.577666578,-0.50655737,-0.404245564,-0.163588738,-0.156035847,0.006228736,-0.001995218,1.320189013,0.570369815,0.071796526,-0.281099829,0.786187668,-0.321553003,-0.019280697,-0.258356611,-0.361558222,-0.133789004,-0.340861866,NA,NA
M0087,-2.506613574,-0.454987836,-1.385100268,-0.015427814,-0.133259298,-0.49259648,-0.769092214,-0.453959843,-0.544358501,0.159906144,0.210592395,-3.519436822,0.148020779,0.774533943,-0.399127472,-2.334697805,0.694633082,-1.022608164,-2.745624875,-0.985473758,0.662133234,0.512269664,-1.722577142,-1.984895073,0.525776787,-0.708999023,0.625058261,-0.229740093,-0.650007481,0.121176957,0.642878095,-0.029676091,-3.374841496,-0.069875586,-1.084252199,-2.817199657,-1.745818965,-0.921070206,-2.050331366,-0.008538217,-0.636807907,-2.022651793,0.255409825,0.52218183,-0.625189389,-1.841203578,-0.039796623,-0.053026639,-0.962926081,4.44E-16,-0.57342303,-1.718720452,-1.140167736,0.129206261,-0.179322317,-0.0469516,0.006228736,-0.001995218,-2.805595591,-2.742817826,0.128405288,-0.642134296,-4.428208278,-0.590525566,-0.019280697,-0.859986709,-0.789105245,-0.22912891,-0.512334738,NA,NA
M0088,-0.252987807,0.244308801,6.954271731,-0.834881463,-0.50145718,-0.351523817,0.015985713,0.772813897,-0.364111789,1.065287356,0.09132185,0.967794883,1.230322422,1.465305844,0.331246915,4.38951824,0.924758428,0.229050814,2.794475023,0.681292848,-0.12935244,0.340584234,2.547994507,0.957231878,-0.907915982,1.335817285,1.232804765,1.584155919,0.161707046,-0.810961065,-0.366436208,-0.029676091,0.18461537,-0.069875586,0.332275966,3.575718697,0.888180345,-0.571800938,1.408842011,-0.008538217,-0.58727563,0.180642635,1.027504748,0.381408706,-0.211530739,3.269362713,-0.039796623,-0.203498001,0.338202081,4.44E-16,0.031246795,-0.470234615,-0.299314638,-0.207548723,-0.405056979,0.057426828,0.006228736,-0.001995218,2.993073859,3.389491377,0.266362492,-0.561826011,2.049253841,1.026908266,-0.019280697,-0.617893645,-0.99461116,-0.379326128,0.200052667,NA,NA
